,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
128,9,11,1,6,0.7998875717739169,1,2,6,11,0.7995484918423301,1,8,2,13,0.2996460156466523,7,9,3,10,0.15138496073477148,1,8,10,11,0.8906450289380575,7,8,11,6,0.990264174333838,8,10,6,2,0.8154505185873315
129,2,1,6,13,0.19112604576505254,2,8,1,7,0.84248942551601,7,11,4,2,0.5683317934487221,1,2,4,6,0.5041681692265523,6,11,12,4,0.8826818454242689,1,6,7,8,0.9788663790619195,2,6,10,11,0.8008265703984496
130,7,12,8,2,0.8563074087577642,2,7,10,12,0.8192660678819358,1,2,4,7,0.5729752731230231,4,7,8,12,0.9193442000917045,6,12,7,11,0.9646569557428758,6,8,10,1,0.9841860807865486,2,7,10,11,0.7710459216037753
131,8,9,3,12,0.24131686810764297,11,8,1,12,0.7924977328211632,2,8,11,12,0.7853584880669894,8,11,6,7,0.990008106676857,6,7,8,2,0.8821188411412936,8,10,11,1,0.8849892846866073,1,7,10,11,0.8851674351195786
132,6,7,8,3,0.6637760309460348,8,3,7,10,0.68071042555121,2,7,6,1,0.8531453967294189,1,10,12,11,0.7967261797905453,7,8,1,12,0.8560973915467299,1,6,7,8,0.972367547475967,1,6,7,8,0.9837144527247476
133,9,11,6,5,0.08808359041390323,4,11,12,13,0.19242365345142742,2,8,7,6,0.888791979691868,4,12,8,6,0.9132386648946293,1,6,7,10,0.9808770074190711,7,4,8,11,0.8639661397990533,6,11,12,8,0.9723456368567166
134,7,12,13,8,0.7676809850299107,7,11,3,2,0.13163166205968369,7,9,10,2,0.43350196610473735,2,11,7,3,0.1679412561660939,1,8,5,12,0.6461380595817858,6,8,10,2,0.8008955257404478,6,12,10,1,0.9602705428450823
135,7,9,3,1,0.2476778334279014,7,9,12,1,0.7634779436040622,2,4,12,7,0.5915298358121545,6,7,8,1,0.9747675316904006,12,11,10,13,0.5778297531678166,1,7,8,12,0.8863163996921435,1,6,8,10,0.98105262883682
136,12,7,8,2,0.8486902457043811,7,1,8,9,0.8419754869013031,6,10,12,7,0.9868404468913614,6,7,12,4,0.9244837888714958,8,12,1,2,0.7963450042099391,6,12,10,3,0.553588988353876,1,6,7,12,0.9541705766207761
137,2,8,3,7,0.3288611210172494,7,11,6,8,0.9884693623861875,4,10,7,9,0.5656826499857375,1,4,6,12,0.8455210121154138,7,8,9,11,0.8408270049265244,1,8,12,7,0.8796775992699167,6,10,1,12,0.96210824154278
138,2,7,11,10,0.7781053082335234,10,8,6,1,0.9768604926980332,6,10,11,12,0.9606616381321617,6,8,11,12,0.9777789781993953,1,12,8,3,0.650540339153266,1,7,12,8,0.8541082623196785,6,8,10,1,0.980045651330432
139,2,8,10,6,0.8179020127724048,7,8,10,11,0.9412794170006843,1,2,6,7,0.8530437536409483,4,7,12,1,0.8421520132693634,6,7,9,11,0.8293916338236871,1,6,8,11,0.9664827721818188,1,2,6,8,0.8591980880710854
140,1,3,11,6,0.5134284869801282,7,8,12,10,0.9285934616053888,4,12,2,10,0.4918912144648958,8,10,7,6,0.9778629119321646,1,7,8,12,0.8839339859189311,1,6,8,7,0.9765441340436335,1,7,12,6,0.9545006861801943
141,12,1,2,4,0.4923247323427289,11,2,13,10,0.1137072142620944,6,10,11,1,0.952179368891127,6,7,11,1,0.9607948500865697,7,8,12,9,0.8668150280116274,4,6,7,8,0.9134643928717435,1,2,6,7,0.834425193328808
142,7,10,12,3,0.6157871621185258,10,7,12,11,0.8904636594065026,6,10,4,1,0.8293399003445228,11,13,7,1,0.621661665956706,6,7,8,4,0.914103905803456,6,10,1,8,0.9825419790154202,1,7,11,10,0.8905117016580764
143,3,7,13,8,-0.2152955292071912,1,7,13,10,0.6616646400026787,6,11,2,12,0.7978481436969864,1,8,10,7,0.9426744398725557,8,10,12,6,0.9844277297999164,6,8,10,7,0.9800214369129044,12,6,7,10,0.9858943639690231
144,4,8,11,12,0.8214302447553699,1,2,4,11,0.42979787447402207,7,10,12,5,0.6545322272258556,6,7,10,4,0.8483324396627647,7,12,6,4,0.9149745672843596,1,7,9,8,0.857106324063124,1,6,8,11,0.9754889776626101
145,1,2,10,9,0.3169634014885976,7,1,8,9,0.8355460998994948,4,10,12,2,0.4931504570394081,1,4,7,12,0.8558238990117866,1,6,8,11,0.9689217394548396,6,7,10,2,0.8394131216925931,1,6,7,8,0.9816391118616257
146,3,11,13,9,-1.1920646045357834,8,9,10,1,0.811448523866863,6,7,3,1,0.6349694877135497,1,7,10,12,0.8957409577566092,1,8,10,12,0.9175084790759561,4,10,11,12,0.760680324505413,6,10,11,12,0.9501371278648634
147,10,7,1,4,0.8657276153657449,7,9,1,12,0.774468687653086,1,10,9,6,0.7449031253212911,7,8,12,1,0.8913025127628718,1,6,8,12,0.9683395382088082,8,11,12,7,0.8883513757747736,1,8,10,12,0.8728245040815636
