,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
212,212,212,212,212,5,6,7,9,0.9326674460588628,6,8,11,21,0.8875512872345923,20,32,42,46,0.818611733829935,5,10,21,42,0.5440777743122929,6,17,20,21,0.8739767094533814,6,16,18,21,-0.0154762666773446,2,5,18,20,0.1511706495824729,5,10,14,19,0.943274232720515,5,6,23,25,0.9425658043389756,10,13,16,27,0.726838303294067,1,4,10,6,0.953506629287896
213,213,213,213,213,8,11,16,32,0.8550041708076287,1,18,20,25,0.8610390925289282,16,17,18,31,0.4284658609344053,5,19,20,21,0.622725558159054,3,5,6,8,0.6531459137467264,5,6,15,21,0.1887216484478435,4,5,6,11,0.8383783036189544,5,8,10,16,0.6594598387709159,17,19,21,22,0.81769074615388,5,10,18,19,0.6483657970489672,1,4,10,6,0.958733466941703
214,214,214,214,214,4,8,10,21,0.9076014418686088,3,5,7,9,0.6536917534636746,5,16,18,20,0.1036219936257378,3,5,13,17,-0.0154867949861938,5,8,20,27,0.9195013869020896,5,20,23,27,0.9504906252638444,7,10,13,14,0.957063510159441,5,10,16,27,0.7151464892395042,13,17,18,21,0.0938710556146519,5,6,10,13,0.7055974292843117,1,4,10,6,0.9587197982846946
215,215,215,215,215,16,20,28,31,0.4800993222766424,3,8,16,21,0.1414879317855828,10,23,33,40,0.572902797493722,6,18,32,35,0.8809448240073641,8,11,13,17,0.8488651421658422,2,5,8,10,0.6912594024636927,13,17,19,20,0.8322600094791959,5,6,10,13,0.7127873504191682,5,6,7,10,0.9517181322240276,6,7,10,13,0.9545620352125288,1,4,10,6,0.9540107146126058
216,216,216,216,216,2,3,7,9,0.6522900303195677,16,18,20,24,0.4853582626668949,3,5,10,13,0.197997716811956,10,13,17,18,0.6364293086862729,5,9,10,13,0.6030755057699091,10,17,21,32,0.8990687201791655,16,18,22,33,-0.244220673034728,5,10,16,18,0.1663790626936219,5,8,10,19,0.9117133361192784,5,10,17,18,0.6283795985648741,1,4,10,6,0.9588456616092575
217,217,217,217,217,9,15,16,18,-0.2492529061847961,7,8,14,16,0.8272961480985,8,9,17,31,0.8600230717124379,9,11,17,34,0.7856517991136541,5,7,10,16,0.7170797030429816,16,18,27,32,0.5741791007212438,5,6,19,20,0.912153294187352,6,10,17,19,0.9762965759003362,5,10,18,28,0.1829595540709183,5,6,19,20,0.912153294187352,1,4,10,6,0.9578627409071705
218,218,218,218,218,2,5,7,8,0.7102642541130761,1,2,3,10,0.6846853833285271,5,12,15,19,0.3357113701101084,5,18,22,31,0.6267371645271771,8,13,19,44,0.5520830998368549,5,8,10,13,0.6689271763860464,5,17,21,36,0.2823423709206598,5,9,10,20,0.8731009138645122,6,10,13,16,0.7004545608529542,5,6,8,10,0.93348681785355,1,4,10,6,0.9572011950724644
219,219,219,219,219,17,19,23,31,0.9595919319421798,10,17,31,51,0.9042929260651216,5,18,19,20,0.6086812780024133,5,8,10,12,0.8511185385548101,6,8,13,18,0.7052123011770338,10,16,19,23,0.8600070861884561,6,10,20,21,0.9209684272497116,13,18,25,42,0.444891154369373,6,16,21,31,0.5679803195145064,5,24,25,31,0.884423815637493,1,4,10,6,0.957610945293279
220,220,220,220,220,14,15,16,17,0.4206807895594806,23,24,27,28,0.8683176348036029,5,8,19,30,0.8361565119335779,22,27,47,52,0.803959374140378,2,5,24,26,0.5823737826199178,7,11,13,20,0.9258018067361592,7,8,10,21,0.9046197258567442,5,10,16,17,0.5907452690314426,6,7,10,13,0.9554277392741592,6,10,17,19,0.9760663919274372,1,4,10,6,0.9574552320415758
221,221,221,221,221,7,10,11,18,0.8464179000887049,5,7,11,16,0.6415564755884615,12,15,20,23,0.7605816290598972,1,7,10,34,0.8858345985604306,18,24,30,39,0.4024873403564137,5,8,10,13,0.6784843489042868,5,10,13,19,0.6673907414325144,23,31,43,44,0.8006643954913747,5,17,19,23,0.8821309047449357,5,6,19,20,0.9161244228683088,1,4,10,6,0.9521529640107538
222,222,222,222,222,2,16,22,32,0.474569868603641,10,18,22,38,0.4799626376920324,1,19,22,30,0.9783546789928426,7,19,20,33,0.8288647491304129,8,18,19,21,0.4903556812662055,7,10,19,31,0.9507812034488315,7,10,17,18,0.8789636816011195,1,5,10,17,0.8689087020620377,16,17,18,21,-0.1512817085992559,6,8,10,21,0.9216475305641738,1,4,10,6,0.952654265057284
223,223,223,223,223,1,8,12,15,0.7194201888234554,22,42,43,58,0.6930582854759992,13,18,20,22,0.6421762282196052,10,18,19,23,0.8765803097819861,7,8,13,20,0.9345791984540242,5,8,10,13,0.6767508803461942,20,22,26,66,0.7852931616014271,6,10,17,18,0.8935421941617168,7,8,10,13,0.9572237630044916,5,10,13,16,0.2491845146373617,1,4,10,6,0.9528516367750366
224,224,224,224,224,8,9,10,15,0.8514897906213434,3,6,9,17,0.8087016328566218,5,12,13,14,0.6285326556777384,7,8,10,26,0.9477315712201766,5,7,10,14,0.9540500150409452,10,13,16,18,0.1804944610339529,5,6,10,13,0.7066161951690101,5,8,10,13,0.667800115959077,5,8,16,22,0.5832772840866844,5,8,10,17,0.8624346507661096,1,4,10,6,0.957683283093952
225,225,225,225,225,4,5,13,24,0.5798953276518012,4,17,21,26,0.8720716401278266,6,20,32,34,0.9016228191471146,9,21,27,31,0.8755804176281367,16,23,26,27,0.8811068592648057,8,18,19,20,0.8435512915878549,5,8,16,22,0.5951377129557955,6,7,8,13,0.957726826342998,5,10,14,17,0.9369154390274388,6,13,16,19,0.6313432139302568,1,4,10,6,0.9515009742035299
