,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
184,184,6,7,9,11,0.161186032568515,6,10,13,14,-0.1215312673686797,6,7,13,16,-0.3333724337514234,17,19,28,23,-0.7811406452799059,1,7,13,24,0.621246169125853,1,7,9,13,0.7678607611304032,6,7,9,16,-0.2186774492212253,1,15,18,19,0.4922198756915622,9,17,19,29,0.3762033694180425,6,7,20,24,-0.3226490183449839,9,13,1,6,0.8352802894138829
185,185,5,7,10,15,0.3666485205010596,13,16,26,30,-1.2837610708197569,6,7,8,15,0.4401936895485691,5,6,18,26,-0.6636417266497816,18,29,1,7,0.1364795321121081,9,13,20,29,0.9072503202392144,1,6,19,28,0.535164870751352,8,9,10,17,0.3586019631368483,5,6,9,13,0.879089236961752,6,7,9,19,0.0967555858454328,9,13,1,6,0.8359053096529273
186,186,14,16,24,27,-0.8649774607814473,2,17,21,29,0.680577296352795,7,11,22,24,-0.3184965269784499,9,18,26,30,-1.1909464257405924,7,9,11,18,-0.0194691564961919,13,17,24,30,-0.6591291534285644,7,9,14,16,-0.2886384405313353,6,9,18,24,0.316747590344999,1,5,7,9,0.7681143016959244,1,6,9,13,0.8346748385844289,9,13,1,6,0.8346748385844289
187,187,1,2,28,21,0.8027908300977112,1,15,20,7,0.4266848071074975,2,4,7,10,0.3954690573883693,15,16,18,21,0.3818078457822073,1,7,9,13,0.7666259372406483,9,13,19,21,0.9125002178666248,7,9,19,24,0.4408138902310952,24,29,10,1,0.6753267853387251,1,5,6,9,0.833996920677874,9,13,16,24,0.7391274641602072,9,13,1,6,0.8345626313403105
188,188,5,6,17,29,-0.0171222403376298,1,8,11,14,0.5989065994083033,1,6,14,30,-0.6408191471557596,1,7,9,11,0.5866112943102726,8,14,18,30,-0.6281246314661038,1,5,7,13,0.7308260461204792,9,19,24,28,0.8135805857996273,1,6,7,17,-0.6060054595238074,6,16,19,23,-0.9656171237139136,6,13,24,26,0.0183983535050471,9,13,1,6,0.8345999745223905
189,189,1,2,8,26,0.5318868325489364,4,7,15,1,0.7559863987711065,7,18,19,21,-0.0922951009992452,7,9,13,18,0.3097187650967206,6,10,16,17,-1.3626292089214398,1,5,6,7,0.2837863528670084,9,13,16,18,0.3713977613881616,18,30,1,13,-0.0098438169588837,1,6,18,21,0.4126794487375941,1,15,18,19,0.4891262876276503,9,13,1,6,0.8346860591455387
190,190,19,26,23,8,-0.7075830194788779,2,4,7,9,0.8263193506907694,7,13,29,15,0.7951305545065298,5,13,22,9,0.7584924518346343,1,13,18,19,0.4776918638866827,1,9,13,17,0.6694021391376297,1,13,18,24,0.6241047405731144,1,23,25,13,0.5959551841322822,5,7,9,19,0.5554419578889703,6,7,19,21,0.0863096749835108,9,13,1,6,0.8343139051922509
191,191,7,16,18,27,-1.9198809291814596,1,5,10,15,0.7869395541222255,1,5,10,11,0.5038051036746077,1,5,7,17,-0.021411790568357,1,28,6,31,-0.0045947072869412,1,13,16,18,0.2341170723330595,1,7,9,12,0.3616970218299635,9,13,17,18,0.2661313514404362,6,9,13,24,0.7834189976977675,9,13,18,20,0.5451405432224182,9,13,1,6,0.8342508677564692
192,192,2,4,7,8,0.7790058260938868,3,5,6,13,0.8283799214724381,8,15,23,24,0.6140956757416092,1,9,13,16,0.7959733314229582,1,6,9,24,0.75790882236265,1,9,13,15,0.8833401865989896,6,9,14,18,-0.1427663376030357,5,7,9,17,0.1666265727256813,9,11,17,18,-0.0530011372416541,1,9,19,26,0.3193354509367723,9,13,1,6,0.8350461105082985
193,193,8,9,16,24,0.7633986309734526,1,6,19,27,-0.3606407741630766,10,18,29,7,-0.4821483729218012,9,12,20,23,-0.1454088630743171,9,29,17,23,-0.1142673657102539,1,6,10,16,-0.2474774309310936,3,9,11,17,0.5527409645932657,6,9,17,19,-0.0819972175893699,1,7,13,18,0.1762109474344575,6,7,15,17,-0.4367582032788728,9,13,1,6,0.8335405440322807
