,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
121,121,121,6,10,13,14,0.9818659862469,6,18,28,31,0.6560602667939857,2,18,21,23,0.8479247228313451,6,9,21,28,0.2975431165737349,5,10,22,27,0.7082550244352195,5,10,18,21,0.8468581884344657,5,7,10,15,0.9429795954861108,1,3,5,6,0.442811516893523,5,6,10,19,0.775201677243349,5,6,7,8,0.2616394599167789,5,10,21,17,0.8474311184062618
122,122,122,12,13,17,27,0.4511045192383194,21,25,33,39,-0.1487595133513903,17,19,21,32,0.2517308496397026,5,9,12,18,0.9454263779995626,10,21,30,42,0.2354247293738821,6,8,13,17,0.5818858235258169,5,10,20,21,0.5710287168444471,5,10,21,26,0.7684068058623754,5,6,10,11,0.4641570089003584,10,13,21,37,0.4847993064081227,5,10,21,17,0.8474615041069473
123,123,123,1,3,4,10,-0.4458227889427215,17,37,40,41,-0.0451522862156617,10,16,26,27,0.7024701348509428,1,5,10,35,0.7407384722462131,5,7,14,31,0.9374978341011712,21,40,50,56,0.47046815710973,6,21,25,37,-0.2582250591776081,5,6,7,27,0.3670640207663019,5,10,13,19,0.8723449875817348,5,8,10,15,0.583720253652246,5,10,21,17,0.8496057394571258
124,124,124,8,20,25,27,-1.6593869769960992,15,17,18,21,0.3687073959866791,1,6,16,17,0.8922381592740378,10,21,32,40,-0.4383847435099754,1,6,7,11,0.420882558814917,6,10,11,24,0.6103740407665736,5,6,8,11,-0.5616141777000538,10,16,21,24,0.8354723375469544,5,10,17,18,0.9350817124210032,5,6,8,10,0.4670594421603624,5,10,21,17,0.8472606536008279
125,125,125,2,4,11,12,-0.4694951137918832,12,19,21,38,0.8797677836872957,11,24,35,36,0.3573130338133401,5,7,21,24,0.7556270290016704,5,14,16,17,0.7009683318125612,6,7,21,35,0.3619655288498294,5,6,7,8,0.2650337146114758,5,10,16,17,0.9405733095722334,10,18,19,33,0.8600655019512006,6,10,17,18,0.9353975976157496,5,10,21,17,0.8482768688846306
126,126,126,1,8,11,21,-1.163453215101296,7,10,17,19,0.9445996277261444,6,9,20,26,0.8053060871697206,6,10,13,19,0.8782781449945526,7,10,13,16,0.981097450900254,8,10,16,17,0.3651204367260744,8,10,21,43,-0.0505694185823681,6,8,33,41,0.4779908671285117,5,7,17,19,0.9434109308132465,5,6,10,13,0.8663856296685263,5,10,21,17,0.8478669355660008
127,127,127,5,6,7,10,0.6499202454763007,8,13,21,24,0.4012567620443472,6,26,27,32,-0.1271224169265177,4,6,7,8,-0.5195092738635401,10,14,17,18,0.6462703276760687,6,13,15,19,0.994487544034918,5,10,13,20,0.8676162945463591,6,13,27,36,0.7660350461753951,6,10,19,20,0.7910211041561487,5,16,18,21,0.7445339540831052,5,10,21,17,0.850634341743843
128,128,128,17,37,53,60,0.4286643511047329,8,16,28,32,-1.870215369201671,10,11,13,19,0.6019370611918105,6,8,18,21,0.1356175933969337,17,20,21,27,-0.1924043820343102,13,17,19,24,0.9458587877122429,5,7,13,18,0.9370877027764022,16,20,22,29,0.901219589183334,4,5,21,22,0.2794957477129248,10,13,16,17,0.8105368423338972,5,10,21,17,0.8473593958238017
129,129,129,4,6,13,34,0.6848442770404873,1,5,21,26,0.7727415455008795,6,24,32,33,0.7375865740415324,18,19,23,30,0.889462157102084,5,10,19,21,0.7588468763462816,5,10,12,13,0.9806671220852496,5,6,31,41,0.7509235053018442,10,17,19,21,0.7934209632278382,10,13,17,20,0.8460450133425811,10,27,30,37,-0.2855391482868226,5,10,21,17,0.8491882807017115
130,130,130,5,14,16,19,0.9386083832648364,3,4,38,46,-0.1611884846613775,1,7,8,10,0.5072741762904788,9,12,21,27,0.2807973825280474,8,16,17,34,0.2394441928679881,6,16,20,21,0.5956057909166733,5,6,10,16,0.9449349316873226,5,6,10,33,0.7937330300246818,6,17,20,25,0.492547471518619,5,6,11,13,0.5464902890653949,5,10,21,17,0.8475974971435281
131,131,131,1,4,6,8,-0.4649596364842043,1,4,17,18,0.2900339123653662,6,18,22,32,0.6096671653029966,6,8,20,27,-0.7472260308948127,6,13,17,21,0.8405772450028448,13,17,19,23,0.977368550154918,5,11,20,21,-0.2827654736249336,5,16,17,20,0.7816262477579756,6,17,22,30,0.8410623242825445,8,10,17,18,0.3485460751419756,5,10,21,17,0.8467021605044941
132,132,132,3,12,13,14,0.3740605604624316,4,5,16,21,0.1790152989165039,6,10,18,22,0.9798243329926736,5,6,10,13,0.8625010320860356,5,13,16,18,0.8740674895766821,5,20,26,28,0.4092243945541319,5,6,8,10,0.469833684753026,5,6,10,28,0.5595359599327985,5,8,10,17,0.5799802276635442,5,7,8,10,0.4643615100489136,5,10,21,17,0.8493627863310058
133,133,133,2,5,7,9,0.8601346243404748,1,10,16,21,0.7690401280207368,21,26,27,28,-0.5232529792531353,3,8,13,17,-0.4414436017736616,10,13,16,17,0.8138262171690245,5,13,16,21,0.8537903480689298,7,8,13,16,0.5984196821227483,2,5,6,13,0.9128690450537972,3,5,8,10,-0.3961732998486962,6,13,21,36,0.8665160258607487,5,10,21,17,0.8499624356144655
134,134,134,6,8,18,24,0.638158396410729,4,11,23,34,-0.2468460965633865,2,8,19,21,0.3559813682807351,2,4,10,14,0.5676256530198163,16,21,22,23,0.8541962467231421,5,6,13,16,0.9417067284778866,3,5,13,16,0.6097295866206038,6,13,16,17,0.8702130239473108,10,31,36,42,0.9049115676366196,6,11,13,17,0.569449814707848,5,10,21,17,0.8479319468561521
135,135,135,2,13,17,20,0.8317782455382233,18,22,29,48,0.5991988513703673,2,3,6,7,0.5480447754897182,2,6,9,19,0.8788185737845711,8,10,17,20,0.2030094363837501,24,26,27,31,0.8295392342413865,2,7,8,10,0.6177028568001627,6,17,19,27,0.732682961428215,5,6,8,18,0.4951040184881115,5,17,18,20,0.7783323314416299,5,10,21,17,0.848057828141527
136,136,136,45,53,54,80,0.1316782551712915,5,8,19,20,0.3552196633997244,10,14,16,28,0.5120261236945179,8,13,16,21,0.1496712954476529,13,35,48,53,-0.3975668758031434,6,10,21,24,0.8090347316141487,6,10,20,21,0.5686610684342772,5,16,17,27,0.5389995185360612,8,10,16,17,0.3674041031473964,7,12,18,19,0.9395320682532566,5,10,21,17,0.8481087522142382
137,137,137,4,6,10,14,0.5911851893459672,15,18,21,29,0.7247244333003282,2,13,20,31,0.8788847994208349,5,10,29,30,0.7673396123930896,3,8,10,19,-0.3506763426312211,6,10,13,19,0.8778377583491841,1,5,10,11,0.5097351388315581,7,17,21,33,0.8809435770781974,5,6,13,17,0.940150059671946,6,10,18,19,0.9447355810609104,5,10,21,17,0.8475484867991278
138,138,138,13,16,19,20,0.8911893808781362,8,20,25,27,-1.6556088506481554,5,10,23,24,0.8479945719926028,19,22,23,30,0.9014862267651366,13,21,42,53,0.1477884706111262,1,5,16,17,0.8936079131582417,10,13,20,31,0.8554869910338956,5,10,13,19,0.8784187105271236,5,13,16,17,0.8701032049405116,6,10,18,19,0.9447144284333256,5,10,21,17,0.8476673944286255
139,139,139,3,5,6,13,0.5567997645200453,12,20,43,45,0.1658781115013394,17,19,21,28,0.3497436764824955,9,25,32,42,-0.1429100147079824,8,10,14,16,0.3747598450212167,5,17,18,21,0.724519806423594,5,6,19,20,0.7854881795509366,13,17,18,21,0.6130952863232568,5,10,13,16,0.9815914461838038,5,6,10,17,0.9449659147256476,5,10,21,17,0.8475380384574837
140,140,140,5,13,23,27,0.74184018134141,5,6,10,16,0.9431921133191544,5,13,14,38,0.9741384692322848,5,19,20,21,0.646345361568759,19,20,25,28,-0.1107952556109748,16,18,20,21,0.4067951333475899,5,10,18,19,0.9420722927798356,5,6,10,20,0.7410866807516492,5,8,10,13,0.6243796954387117,10,13,16,34,0.8801330983547483,5,10,21,17,0.8483787460181894
141,141,141,15,26,30,34,0.8114375374904931,5,10,17,21,0.8460754699342511,2,36,37,38,0.8574167326061367,5,16,18,21,0.7285994303570817,6,8,14,31,0.5540390422269483,3,5,6,7,0.2638316181405786,5,10,16,19,0.945570260701284,6,7,10,17,0.940790368380112,8,10,18,21,0.1173494121592885,6,10,17,19,0.94549323466557,5,10,21,17,0.8460754699342511
