,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r
275,12,13,0.3417149240262052,5,8,0.6223352062423271,5,6,0.2096840891426095,5,10,0.2634228244189898,6,8,0.239114442455447,7,10,0.658909667903899,7,9,0.6579271904588269
276,3,6,0.38769315326738607,1,10,0.13572246322617,1,3,-0.028024460115020577,3,9,0.681976520432078,6,2,-0.19135783697753084,9,12,0.139306031483464,10,11,0.7797105846108371
277,5,4,0.7340571844704797,5,11,0.5865437290495692,5,7,0.5387919348384809,1,10,-0.29026211934632173,10,2,-0.44991095778128587,2,4,0.2649936075648527,6,10,-0.28863580435807346
278,11,2,0.17326698086525727,3,6,0.030235945929214747,3,5,0.3316119079923887,5,6,0.6865995412231037,1,6,-0.2799541798046272,1,12,0.033442451009489615,6,9,0.14439915765238442
279,6,11,0.15627976165295887,13,5,0.6254530785755172,2,4,0.5116807672847954,5,8,0.5969786019261611,10,2,-0.17656740468764465,8,11,0.658975187684564,4,3,-0.04814072123018254
280,5,6,0.3199458677092517,6,8,0.4835522244349628,2,5,0.5925881139610509,5,11,0.3181364651889127,6,7,0.32565989523988403,5,10,0.22919878796313342,6,10,-0.08138155897639776
281,8,11,0.8539194829741081,8,13,0.6207949474355203,2,8,0.4468199553491865,3,7,0.6018862359744381,7,10,0.7504978303814873,6,10,0.234464970054852,10,13,0.28273770053279224
282,1,5,0.6383676039259492,11,12,0.892835906386891,13,9,0.8202214593295556,6,9,0.6791536062965795,4,5,0.7492592736833756,6,4,0.5342040298712543,1,6,0.2361515325782544
283,5,7,0.6583840740672229,1,4,0.5645757143243787,2,1,0.30015579298751516,5,7,0.7340014263465077,6,7,0.550525757159094,4,5,0.71094680000609,4,5,0.7308993081456023
284,9,4,0.8126928777057748,5,12,0.7617079740194438,1,2,0.13510374558399763,4,8,0.610770529113203,4,5,0.7097345782676725,6,10,0.5677228213798711,4,13,0.5218893183719062
285,7,4,0.7365450647649355,1,4,0.5114647513124209,8,11,0.955548607025276,2,6,0.5744616492557417,6,7,0.5246753644927332,7,8,0.7988717184204444,10,12,0.592381545498445
286,11,4,0.86845360319238,7,6,0.5377296698967828,2,5,0.7616826798985418,1,7,0.47003471752493564,6,11,0.6796073902636978,10,13,0.6344234942242475,11,10,0.636030611227543
287,3,8,0.7987762192858219,4,12,0.8300582279792167,8,10,0.7696672962997396,10,13,0.7210100943866311,10,1,0.19855857278415878,10,2,0.48653850803765186,4,12,0.871525647353443
288,1,2,0.36704306577058254,4,7,0.879611897805127,4,5,0.8697589025934536,7,3,0.7711731314996361,11,5,0.7469592177652763,1,8,0.6891415936927483,6,12,0.8253073475912795
289,5,7,0.8170602214499768,3,5,0.8378952337534133,5,13,0.7145074820065612,4,6,0.6544899579761039,2,11,0.8020629525306777,8,10,0.7793358124540082,4,7,0.8309841380485835
290,7,8,0.7556587507443143,13,1,0.634480430426233,4,5,0.869914106217443,1,11,0.8278843570328878,8,10,0.5876108415681743,11,8,0.9589240096782645,5,7,0.8694205124364625
291,7,12,0.7005650621949295,2,5,0.8310876201156959,4,5,0.8294682443464306,8,11,0.9265023032775115,2,8,0.7947071796102795,4,5,0.8730379870857818,6,11,0.7800250681399902
292,4,12,0.9623387742179053,7,8,0.9220151196818139,6,10,0.3353194303814675,3,6,0.7184265176447203,1,4,0.738071221755097,10,12,0.6568622422211883,8,9,0.8882415181613226
293,11,13,0.7827812547162556,4,11,0.9073210546759127,5,8,0.8294187055795823,4,5,0.8819481688271406,6,9,0.6487816346416568,10,8,0.8372459032788979,6,11,0.7493555385638067
294,1,4,0.6124268042377297,2,4,0.8004523554543526,4,3,0.6276182139722024,1,4,0.6024936177240876,9,13,0.7853990526282411,6,8,0.6229681193322567,4,6,0.6389416687222396
295,3,10,0.5650147863204115,1,4,0.6006169546532312,5,6,0.6225275709911027,3,5,0.7591985411412563,8,10,0.8904725495044551,1,6,0.1440144438970461,9,4,0.7437432801909583
296,5,6,0.5433137840562361,1,2,0.2863456562106037,6,7,0.5554269116650841,8,1,0.5620242622834548,4,5,0.7653992443231367,7,11,0.9324853482120413,1,5,0.6017579338168448
297,1,10,0.6334766316724025,10,1,0.33505679055530624,4,1,0.5512434995787927,6,7,0.5277072224188841,8,10,0.7245627418778848,3,11,0.6122233569481664,6,10,0.43336736765022343
298,9,7,0.7059382783645545,5,1,0.4542014232974787,4,11,0.7587683708978288,1,6,0.24653704434104218,9,1,0.5028624481561331,10,11,0.8374682164107574,2,6,0.17815156472398064
299,5,8,0.7335903252082113,5,2,0.3654830445077507,11,12,0.6717778756075061,12,2,0.5043270523356397,5,8,0.8401891693811504,6,8,0.6075022904271125,4,6,0.06501976783658525
300,2,6,0.3948411466014672,5,7,0.7467206652516998,10,11,0.7085211237809474,8,11,0.7413505975872077,1,4,0.4289109424241747,9,12,0.3968319849726679,6,9,0.6476123281870856
301,6,7,0.7770951375385545,1,3,0.17027903656214516,11,6,0.5556387314569029,4,6,0.2532903257854743,12,1,0.6665073128671,2,10,0.44492785859479556,4,10,0.552952849594954
302,4,8,0.7022115100629114,3,5,0.5395708879915294,8,10,0.5464838767356137,3,12,0.5601092672973411,13,5,0.5772589045050235,6,10,-0.19867715790412932,4,11,0.6237828796521998
303,1,11,0.46480371976214463,1,6,0.18664982996904256,11,5,0.8299374357041344,9,11,0.7878328595238594,1,10,-0.02473901700020753,6,10,0.3141923244109939,12,13,0.36981695621925903
304,1,8,0.25385218127348574,8,10,0.7568342621549329,4,12,0.6872974862537167,10,11,0.21124028167197573,7,9,0.7018930917855793,6,8,0.597915111500319,5,6,0.3140923696917878
305,3,5,0.7451716057026587,1,4,0.430055016445301,2,4,0.7011954252457093,6,3,0.39891515171662884,6,5,0.17349376216204593,1,4,0.5670131994595187,5,10,0.5830894399897232
306,8,6,0.8109184602982391,2,3,0.015687345824841104,6,10,0.38167404480951617,1,4,0.595600361808656,2,6,0.4773665072607004,5,6,0.8440712418732987,6,9,0.7398390898185481
307,2,6,0.43877116249542725,8,12,0.6431795402097895,1,2,0.24243850209059015,6,11,0.5357156498913939,11,4,0.7890650246504951,4,6,0.6882961225358994,6,10,-0.0026711977888926874
